formula_file,execution_time_in,timeout
/home/samplingfm/Benchmarks/FeatureModels/olpce2294.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/am31_sim.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/stdeval1.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/pc_rltk8139.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/adder.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/cme555.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/refidt334.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/calm16_ceb.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/pid.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/asb.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/iq80310.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/fads.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/adderII.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/cerf.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/assabet.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/iq80321.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/tx39_sim.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/sa1100mm.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/npwr.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/brutus.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/cerfpda.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/ceb_v850.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/mpc50.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/at91sam7xek.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/edosk2674.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/pc_vmWare.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/csb281.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/uE250.cnf,335.0,True
/home/samplingfm/Benchmarks/FeatureModels/moab.cnf,335.0,True
