formula_file,timeout,timeout_reached,execution_time_in,total_sampling_time,avg_sampling_time,model_count,requested_samples,actual_samples
/home/samplingfm/Benchmarks/FeatureModels/gps4020.cnf,711,True,711.0128364562988,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/mbx.cnf,711,True,711.0132641792297,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/atlas_mips32_4kc.cnf,711,True,711.0105271339417,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/ts1000.cnf,711,True,711.0130150318146,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/at91sam7sek.cnf,711,True,711.0135040283203,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/sam7ex256.cnf,711,True,711.0112941265106,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/phycore229x.cnf,711,True,711.0114133358002,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/flexanet.cnf,711,True,711.0129969120026,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/mcb2100.cnf,711,True,711.0134749412537,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/innovator.cnf,711,True,711.0132598876953,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/ocelot.cnf,711,True,711.0111768245697,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/malta_mips64_5kc.cnf,711,True,711.0128176212311,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/ts6.cnf,711,True,711.01327252388,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/cma28x.cnf,711,True,711.0136575698853,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/aim711.cnf,711,True,711.012978553772,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/ebsa285.cnf,711,True,711.0122139453888,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/aaed2000.cnf,711,True,711.0129284858704,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/picasso.cnf,711,True,711.0121829509735,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/olpcl2294.cnf,711,True,711.0126242637634,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/pati.cnf,711,True,711.0117032527924,,,,10,0
/home/samplingfm/Benchmarks/FeatureModels/pc_i82544.cnf,711,True,711.0133039951324,,,,10,0
