start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Fri Jul 10 17:21:23 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring20.cnf,696,61,2198,8388608,2,23,10,7,265.86,0.12701,0.096555,0.030455,False,0.1406397819519043
Fri Jul 10 17:21:23 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case116.cnf,438,28,1878,33554432,4,30,10,10,109.10,0.209828,0.177261,0.032567,False,0.22248578071594238
Fri Jul 10 17:21:23 2020,/home/samplingfm/Benchmarks/V7/s420_new1_7_4.cnf,312,34,770,8589934592,5,14,10,10,100.00,0.035194,0.017962,0.017232,False,0.04738163948059082
Fri Jul 10 17:21:23 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case5.cnf,176,36,517,67108864,3,21,10,9,78.67,0.041012,0.021281,0.019731,False,0.05375409126281738
Fri Jul 10 17:22:38 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case9.cnf,279,67,752,562949953421312,5,46,10,6,147.67,75.0219,63.4199,11.602,False,75.06315588951111
Fri Jul 10 17:22:54 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_2.cnf,827,45,2721,274877906944,4,39,10,7,361.43,16.0255,12.7269,3.29858,False,16.040228128433228
Fri Jul 10 17:22:54 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case8.cnf,160,26,523,8388608,3,22,10,9,66.33,0.040603,0.022886,0.017717,False,0.05324244499206543
Fri Jul 10 17:22:56 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring28.cnf,1060,61,3840,79888860,5,52,10,9,270.44,1.73659,1.61342,0.123167,False,1.7498388290405273
Fri Jul 10 17:23:42 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf,340,48,1023,274877906944,5,39,10,10,154.20,45.7004,45.6737,0.026724,False,45.723021030426025
Fri Jul 10 17:23:42 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_1.cnf,238,45,680,4398046511104,2,26,10,7,92.71,0.226639,0.155937,0.070702,False,0.24077057838439941
Fri Jul 10 17:23:42 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case123.cnf,267,34,980,2147483648,4,24,10,8,77.00,0.06126,0.036324,0.024936,False,0.07268714904785156
Fri Jul 10 17:23:52 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case106.cnf,204,60,508,4398046511104,5,40,10,10,98.40,9.60017,9.58198,0.018188,False,9.613497734069824
Fri Jul 10 17:23:52 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case57.cnf,288,32,1158,536870912,4,22,10,10,71.30,0.046884,0.024696,0.022188,False,0.05894827842712402
Fri Jul 10 17:23:52 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_3.cnf,304,40,939,137438953472,2,31,10,8,87.38,0.148838,0.107171,0.041667,False,0.16235971450805664
Fri Jul 10 17:23:52 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case201.cnf,200,45,544,4398046511104,2,12,10,6,97.50,0.035794,0.013513,0.022281,False,0.048281192779541016
Fri Jul 10 17:23:52 2020,/home/samplingfm/Benchmarks/V3/s1238a_3_2.cnf,686,32,1850,2466250752,8,21,10,10,92.60,0.374118,0.34803,0.026088,False,0.3870813846588135
Fri Jul 10 17:23:53 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring27.cnf,837,61,2902,28311561,3,29,10,6,327.67,0.214802,0.115103,0.099699,False,0.22752737998962402
Fri Jul 10 17:23:53 2020,/home/samplingfm/Benchmarks/V3/s510_3_2.cnf,298,25,768,15597568,4,8,10,7,16.14,0.027174,0.01633,0.010844,False,0.038561105728149414
Fri Jul 10 17:23:53 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case126.cnf,302,34,1129,2147483648,5,26,10,10,115.40,0.059787,0.033991,0.025796,False,0.07213449478149414
Fri Jul 10 17:23:53 2020,/home/samplingfm/Benchmarks/V7/s420_new_7_4.cnf,312,34,770,8589934592,4,16,10,9,141.22,0.044656,0.017656,0.027,False,0.05783987045288086
Fri Jul 10 17:24:08 2020,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_2.cnf,827,45,2721,274877906944,4,39,10,10,332.60,15.2742,12.58,2.69422,False,15.289914846420288
