feature id,name,obs_freq,th_freq,dev (%)
218,feature_218,0.060780,0.058824,3.326050
219,feature_219,0.060780,0.058824,3.326050
220,feature_220,0.000000,0.000000,0.000000
221,feature_221,0.000000,0.000000,0.000000
222,feature_222,0.000000,0.000000,0.000000
223,feature_223,0.000000,0.000000,0.000000
224,feature_224,0.000000,0.000000,0.000000
225,feature_225,0.000000,0.000000,0.000000
226,feature_226,0.000000,0.000000,0.000000
227,feature_227,0.000000,0.000000,0.000000
228,feature_228,0.000000,0.000000,0.000000
229,feature_229,0.000000,0.000000,0.000000
230,feature_230,0.329940,0.333333,1.017900
231,feature_231,0.329940,0.333333,1.017900
232,feature_232,0.000000,0.000000,0.000000
233,feature_233,0.000000,0.000000,0.000000
234,feature_234,0.000000,0.000000,0.000000
235,feature_235,0.000000,0.000000,0.000000
236,feature_236,0.000000,0.000000,0.000000
237,feature_237,0.000000,0.000000,0.000000
238,feature_238,0.000000,0.000000,0.000000
239,feature_239,0.000000,0.000000,0.000000
240,feature_240,0.000000,0.000000,0.000000
241,feature_241,0.000000,0.000000,0.000000
242,feature_242,0.000000,0.000000,0.000000
243,feature_243,0.000000,0.000000,0.000000
244,feature_244,0.000000,0.000000,0.000000
245,feature_245,0.332960,0.333333,0.111900
246,feature_246,0.332960,0.333333,0.111900
247,feature_247,0.000000,0.000000,0.000000
248,feature_248,0.000000,0.000000,0.000000
249,feature_249,0.000000,0.000000,0.000000
250,feature_250,0.000000,0.000000,0.000000
251,feature_251,0.000000,0.000000,0.000000
252,feature_252,0.000000,0.000000,0.000000
253,feature_253,0.000000,0.000000,0.000000
254,feature_254,0.000000,0.000000,0.000000
255,feature_255,0.000000,0.000000,0.000000
256,feature_256,0.000000,0.000000,0.000000
257,feature_257,0.000000,0.000000,0.000000
258,feature_258,0.000000,0.000000,0.000000
259,feature_259,0.000000,0.000000,0.000000
260,feature_260,0.000000,0.000000,0.000000
261,feature_261,0.000000,0.000000,0.000000
262,feature_262,0.000000,0.000000,0.000000
263,feature_263,0.000000,0.000000,0.000000
264,feature_264,0.000000,0.000000,0.000000
265,feature_265,0.000000,0.000000,0.000000
266,feature_266,0.332700,0.333333,0.189900
267,feature_267,0.332700,0.333333,0.189900
268,feature_268,0.000000,0.000000,0.000000
269,feature_269,0.000000,0.000000,0.000000
270,feature_270,0.000000,0.000000,0.000000
271,feature_271,0.000000,0.000000,0.000000
272,feature_272,0.000000,0.000000,0.000000
273,feature_273,0.000000,0.000000,0.000000
274,feature_274,0.000000,0.000000,0.000000
275,feature_275,0.000000,0.000000,0.000000
276,feature_276,0.000000,0.000000,0.000000
277,feature_277,0.000000,0.000000,0.000000
278,feature_278,0.000000,0.000000,0.000000
279,feature_279,0.000000,0.000000,0.000000
280,feature_280,0.000000,0.000000,0.000000
281,feature_281,0.001660,0.001468,13.045900
282,feature_282,0.001660,0.001468,13.045900
283,feature_283,0.000000,0.000000,0.000000
284,feature_284,0.202800,0.201175,0.807754
285,feature_285,0.202800,0.201175,0.807754
286,feature_286,0.000000,0.000000,0.000000
287,feature_287,0.202800,0.201175,0.807754
288,feature_288,0.202800,0.201175,0.807754
289,feature_289,0.000000,0.000000,0.000000
290,feature_290,0.001660,0.001468,13.045900
291,feature_291,0.001660,0.001468,13.045900
292,feature_292,0.000000,0.000000,0.000000
293,feature_293,0.001660,0.001468,13.045900
294,feature_294,0.001660,0.001468,13.045900
295,feature_295,0.000000,0.000000,0.000000
296,feature_296,0.059560,0.060206,1.072330
297,feature_297,0.059560,0.060206,1.072330
298,feature_298,0.000000,0.000000,0.000000
299,feature_299,0.059560,0.060206,1.072330
300,feature_300,0.059560,0.060206,1.072330
301,feature_301,0.000000,0.000000,0.000000
302,feature_302,0.059560,0.060206,1.072330
303,feature_303,0.059560,0.060206,1.072330
304,feature_304,0.000000,0.000000,0.000000
305,feature_305,0.294260,0.295154,0.302893
306,feature_306,0.294260,0.295154,0.302893
307,feature_307,0.000000,0.000000,0.000000
308,feature_308,0.530580,0.530103,0.089982
309,feature_309,0.530580,0.530103,0.089982
310,feature_310,0.000000,0.000000,0.000000
311,feature_311,0.001660,0.001468,13.045900
312,feature_312,0.001660,0.001468,13.045900
313,feature_313,0.000000,0.000000,0.000000
314,feature_314,0.001660,0.001468,13.045900
315,feature_315,0.001660,0.001468,13.045900
316,feature_316,0.000000,0.000000,0.000000
317,feature_317,1.000000,1.000000,0.000000
318,feature_318,0.001660,0.001468,13.045900
319,feature_319,0.000000,0.000000,0.000000
320,feature_320,1.000000,1.000000,0.000000
321,feature_321,0.001660,0.001468,13.045900
322,feature_322,0.000000,0.000000,0.000000
323,feature_323,1.000000,1.000000,0.000000
324,feature_324,0.001660,0.001468,13.045900
325,feature_325,0.000000,0.000000,0.000000
326,feature_326,0.000000,0.000000,0.000000
327,feature_327,0.000000,0.000000,0.000000
328,feature_328,0.000000,0.000000,0.000000
329,feature_329,0.000000,0.000000,0.000000
330,feature_330,0.000000,0.000000,0.000000
331,feature_331,0.000000,0.000000,0.000000
332,feature_332,0.000000,0.000000,0.000000
333,feature_333,0.000000,0.000000,0.000000
334,feature_334,0.000000,0.000000,0.000000
335,feature_335,0.000000,0.000000,0.000000
336,feature_336,0.000000,0.000000,0.000000
337,feature_337,0.000000,0.000000,0.000000
338,feature_338,0.000000,0.000000,0.000000
339,feature_339,0.000000,0.000000,0.000000
340,feature_340,0.000000,0.000000,0.000000
341,feature_341,0.000000,0.000000,0.000000
342,feature_342,0.000000,0.000000,0.000000
343,feature_343,0.000000,0.000000,0.000000
344,feature_344,0.000000,0.000000,0.000000
345,feature_345,0.000000,0.000000,0.000000
346,feature_346,0.000000,0.000000,0.000000
347,feature_347,0.000000,0.000000,0.000000
348,feature_348,0.000000,0.000000,0.000000
349,feature_349,0.000000,0.000000,0.000000
350,feature_350,0.000000,0.000000,0.000000
351,feature_351,0.000000,0.000000,0.000000
352,feature_352,0.000000,0.000000,0.000000
353,feature_353,0.000000,0.000000,0.000000
354,feature_354,0.000000,0.000000,0.000000
355,feature_355,0.000000,0.000000,0.000000
356,feature_356,0.000000,0.000000,0.000000
357,feature_357,0.000000,0.000000,0.000000
358,feature_358,0.000000,0.000000,0.000000
359,feature_359,0.000000,0.000000,0.000000
360,feature_360,0.000000,0.000000,0.000000
361,feature_361,0.000000,0.000000,0.000000
362,feature_362,0.000000,0.000000,0.000000
363,feature_363,0.000000,0.000000,0.000000
364,feature_364,0.000000,0.000000,0.000000
365,feature_365,0.000000,0.000000,0.000000
366,feature_366,0.000000,0.000000,0.000000
367,feature_367,0.000000,0.000000,0.000000
368,feature_368,0.000000,0.000000,0.000000
369,feature_369,0.000000,0.000000,0.000000
370,feature_370,0.000000,0.000000,0.000000
371,feature_371,0.000000,0.000000,0.000000
372,feature_372,0.000000,0.000000,0.000000
373,feature_373,0.000000,0.000000,0.000000
374,feature_374,0.000000,0.000000,0.000000
375,feature_375,0.000000,0.000000,0.000000
376,feature_376,0.000000,0.000000,0.000000
377,feature_377,0.000000,0.000000,0.000000
378,feature_378,0.000000,0.000000,0.000000
379,feature_379,0.000000,0.000000,0.000000
380,feature_380,0.000000,0.000000,0.000000
381,feature_381,0.000000,0.000000,0.000000
382,feature_382,0.000000,0.000000,0.000000
383,feature_383,0.000000,0.000000,0.000000
384,feature_384,0.000000,0.000000,0.000000
385,feature_385,0.000000,0.000000,0.000000
386,feature_386,0.000000,0.000000,0.000000
387,feature_387,0.000000,0.000000,0.000000
388,feature_388,0.000000,0.000000,0.000000
389,feature_389,0.000000,0.000000,0.000000
390,feature_390,0.000000,0.000000,0.000000
391,feature_391,0.000000,0.000000,0.000000
392,feature_392,0.000000,0.000000,0.000000
393,feature_393,0.000000,0.000000,0.000000
394,feature_394,0.000000,0.000000,0.000000
395,feature_395,0.000000,0.000000,0.000000
396,feature_396,0.000000,0.000000,0.000000
397,feature_397,0.000000,0.000000,0.000000
398,feature_398,0.000000,0.000000,0.000000
399,feature_399,0.000000,0.000000,0.000000
400,feature_400,0.000000,0.000000,0.000000
401,feature_401,0.000000,0.000000,0.000000
402,feature_402,0.000000,0.000000,0.000000
403,feature_403,0.000000,0.000000,0.000000
404,feature_404,0.000000,0.000000,0.000000
405,feature_405,0.000000,0.000000,0.000000
406,feature_406,0.000000,0.000000,0.000000
407,feature_407,0.000000,0.000000,0.000000
408,feature_408,0.000000,0.000000,0.000000
409,feature_409,0.000000,0.000000,0.000000
410,feature_410,0.000000,0.000000,0.000000
411,feature_411,0.000000,0.000000,0.000000
412,feature_412,0.000000,0.000000,0.000000
413,feature_413,0.000000,0.000000,0.000000
414,feature_414,0.000000,0.000000,0.000000
415,feature_415,0.000000,0.000000,0.000000
416,feature_416,0.000000,0.000000,0.000000
417,feature_417,0.000000,0.000000,0.000000
418,feature_418,0.000000,0.000000,0.000000
419,feature_419,0.000000,0.000000,0.000000
420,feature_420,0.000000,0.000000,0.000000
421,feature_421,0.000000,0.000000,0.000000
422,feature_422,0.000000,0.000000,0.000000
423,feature_423,0.000000,0.000000,0.000000
424,feature_424,0.000000,0.000000,0.000000
425,feature_425,0.000000,0.000000,0.000000
426,feature_426,0.000000,0.000000,0.000000
427,feature_427,0.000000,0.000000,0.000000
428,feature_428,0.000000,0.000000,0.000000
429,feature_429,0.000000,0.000000,0.000000
430,feature_430,0.000000,0.000000,0.000000
431,feature_431,0.000000,0.000000,0.000000
432,feature_432,0.000000,0.000000,0.000000
433,feature_433,0.000000,0.000000,0.000000
434,feature_434,0.000000,0.000000,0.000000
435,feature_435,0.000000,0.000000,0.000000
436,feature_436,0.000000,0.000000,0.000000
437,feature_437,0.000000,0.000000,0.000000
438,feature_438,0.000000,0.000000,0.000000
439,feature_439,0.000000,0.000000,0.000000
440,feature_440,0.000000,0.000000,0.000000
441,feature_441,0.000000,0.000000,0.000000
