start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout
Tue May 28 12:56:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case26.cnf,53,13,147,1024,3,8,10,6,17.00,0.017192,0.009905,0.007287,False
Tue May 28 12:56:21 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case32.cnf,52,13,145,1024,3,8,10,5,14.00,0.013667,0.007666,0.006001,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_ptb_1.cnf,,,,,,,,,,5,,,True
Tue May 28 12:56:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case33.cnf,51,13,142,1024,3,8,10,8,12.12,0.014802,0.007033,0.007769,False
Tue May 28 12:56:26 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case27.cnf,52,13,145,1024,3,8,10,7,14.00,0.015152,0.007305,0.007847,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even2_linear.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even3_linear.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case146.cnf,,,,,,,,,,5,,,True
Tue May 28 12:56:47 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case144.cnf,765,138,2339,4835703278458516698824704,10,50,10,10,395.40,0.851785,0.394347,0.457438,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b14_even.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b11_1.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_2_linear.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case19.cnf,,,,,,,,,,5,,,True
Tue May 28 12:57:12 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case31.cnf,53,13,147,1024,3,8,10,6,11.50,0.016417,0.009235,0.007182,False
Tue May 28 12:57:12 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case25.cnf,68,15,195,512,2,9,10,9,8.33,0.017034,0.007088,0.009946,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_ptb_2.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring70.cnf,,,,,,,,,,5,,,True
Tue May 28 12:57:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case24.cnf,65,14,190,256,1,10,10,8,14.00,0.019908,0.010188,0.00972,False
Tue May 28 12:57:22 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case30.cnf,68,15,195,512,2,9,10,9,8.22,0.018645,0.009125,0.00952,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case18.cnf,,,,,,,,,,5,,,True
Tue May 28 12:57:29 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_1.cnf,427,37,1382,1073741824,3,33,10,10,113.50,1.24959,1.198,0.051593,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case145.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case141.cnf,,,,,,,,,,5,,,True
Tue May 28 12:57:39 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case34.cnf,409,39,1597,68719476736,6,28,10,8,193.62,0.237366,0.183938,0.053428,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring60.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case20.cnf,,,,,,,,,,5,,,True
Tue May 28 12:57:49 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case21.cnf,126,16,409,8192,2,12,10,10,33.20,0.029233,0.015281,0.013952,False
Tue May 28 12:57:49 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case35.cnf,400,46,1414,8796093022208,5,34,10,10,273.30,0.425253,0.333444,0.091809,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case140.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case142.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case1_b14_even3.cnf,,,,,,,,,,5,,,True
Tue May 28 12:58:05 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case208.cnf,824,165,2128,5846006549323611672814739330865132078623730171904,2,71,10,7,648.57,0.558505,0.109969,0.448536,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even_linear.cnf,,,,,,,,,,5,,,True
Tue May 28 12:58:10 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case23.cnf,77,14,235,2048,2,14,10,9,17.33,0.021955,0.011717,0.010238,False
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case37.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even7_linear.cnf,,,,,,,,,,5,,,True
Tue May 28 12:58:20 2019,/home/samplingfm/Benchmarks/Blasted_Real/blasted_case36.cnf,64,12,208,276,2,9,10,8,10.88,0.016476,0.009288,0.007188,False
