formula_file,timeout,execution_time_in
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_ptb_1.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring24.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring50.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case128.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case50.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring2.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring26.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case54.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b12_2.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_even7_linear.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_b14_2.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case122.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case24.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring11.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_4_b14_even.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case208.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b14_even.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b14_even_linear.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case214.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case44.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring23.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case3_b14_even3.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_device_1_linear.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring42.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring7.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case58.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case111.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case200.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_even3.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case104.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case62.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case203.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case32.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b11_1.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_1_b12_even1.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case138.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case109.cnf,True,10
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case3.cnf,True,10
