start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout
Tue May 28 14:44:28 2019,/home/samplingfm/Benchmarks/V3/s713_3_2.cnf,509,54,1117,12015050751475712,7,19,10,9,200.00,0.166951,0.133781,0.03317,False
,/home/samplingfm/Benchmarks/V3/s13207a_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:44:33 2019,/home/samplingfm/Benchmarks/V3/s420_3_2.cnf,294,34,694,8589934592,6,12,10,7,64.43,0.027967,0.014942,0.013025,False
,/home/samplingfm/Benchmarks/V3/s5378a_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:44:41 2019,/home/samplingfm/Benchmarks/V3/s35932_3_2.cnf,17831,1763,44349,129963788961922925155527272223525248889759152822969598982478268206133349462694020378264180090220579654839599874514419612180976386106376210220493562042913301888845304620868264421256592545404502952102638854528736634485892059852443757377956753998390984615301580132853155973707156964107367668616014712194416056056482606725913079978679270679940813296657164467735060648899374183734198732590185050003596812827829203933098159373681170060471662299062694163616092617576358807330801595092227509791074524423197905810031515196793951480239357952,4,10,10,10,4826.20,3.22708,1.73786,1.48923,False
,/home/samplingfm/Benchmarks/V3/s1423a_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:44:46 2019,/home/samplingfm/Benchmarks/V3/s382_3_2.cnf,263,24,635,3699712,3,11,10,10,82.80,0.036372,0.017389,0.018983,False
Tue May 28 14:44:46 2019,/home/samplingfm/Benchmarks/V3/s349_3_2.cnf,198,24,469,8388608,2,15,10,7,36.14,0.041211,0.026593,0.014618,False
Tue May 28 14:44:46 2019,/home/samplingfm/Benchmarks/V3/s298_3_2.cnf,205,17,510,32768,3,9,10,6,67.67,0.035532,0.026481,0.009051,False
Tue May 28 14:44:46 2019,/home/samplingfm/Benchmarks/V3/s838_3_2.cnf,598,66,1414,36893488147419103232,6,13,10,7,195.43,0.079538,0.038535,0.041003,False
,/home/samplingfm/Benchmarks/V3/s9234a_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:44:52 2019,/home/samplingfm/Benchmarks/V3/s832a_3_2.cnf,606,23,1657,294912,3,8,10,10,31.70,0.041567,0.023236,0.018331,False
,/home/samplingfm/Benchmarks/V3/s38417_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:44:57 2019,/home/samplingfm/Benchmarks/V3/s1488_3_2.cnf,854,14,2423,3224,2,12,10,7,11.57,0.06006,0.046805,0.013255,False
,/home/samplingfm/Benchmarks/V3/s15850a_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s444_3_2.cnf,290,24,712,3699712,3,11,10,8,121.75,0.040691,0.02282,0.017871,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s820a_3_2.cnf,598,23,1627,198656,3,8,10,7,25.43,0.039035,0.019091,0.019944,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s420_new1_3_2.cnf,294,34,694,8589934592,6,12,10,8,70.12,0.034719,0.016932,0.017787,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s27_new_3_2.cnf,17,7,31,48,2,2,10,1,0.00,0.007024,0.006597,0.000427,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s420_new_3_2.cnf,294,34,694,8589934592,4,12,10,6,52.00,0.035738,0.016456,0.019282,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s27_3_2.cnf,20,7,43,70,2,4,10,2,1.00,0.011029,0.00818,0.002849,False
Tue May 28 14:45:02 2019,/home/samplingfm/Benchmarks/V3/s1238a_3_2.cnf,686,32,1850,2466250752,8,21,10,10,88.20,0.470143,0.444334,0.025809,False
Tue May 28 14:45:03 2019,/home/samplingfm/Benchmarks/V3/s526_3_2.cnf,365,24,943,4194304,5,17,10,9,135.33,0.093481,0.06817,0.025311,False
,/home/samplingfm/Benchmarks/V3/s38584_3_2.cnf,,,,,,,,,,5,,,True
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s510_3_2.cnf,298,25,768,15597568,4,8,10,9,16.22,0.026664,0.013074,0.01359,False
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s344_3_2.cnf,197,24,464,8388608,2,14,10,6,52.83,0.03374,0.02151,0.01223,False
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s526a_3_2.cnf,366,24,944,6291456,5,16,10,10,138.30,0.108548,0.074064,0.034484,False
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s1196a_3_2.cnf,690,32,1805,1038090240,7,22,10,10,106.50,0.272774,0.240783,0.031991,False
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s953a_3_2.cnf,515,45,1297,9070970929152,4,19,10,10,62.40,0.125672,0.101922,0.02375,False
Tue May 28 14:45:08 2019,/home/samplingfm/Benchmarks/V3/s641_3_2.cnf,489,54,1039,4427154041339904,8,19,10,10,179.60,0.165175,0.139193,0.025982,False
