start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout
Tue May 28 10:22:32 2019,/home/samplingfm/Benchmarks/111.sk_2_36.cnf,2348,36,5479,536870912,1,5,10,1,0.00,0.055196,0.051815,0.003381,False
,/home/samplingfm/Benchmarks/karatsuba.sk_7_41.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/ConcreteRoleAffectationService.sk_119_273.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/xpose.sk_6_134.cnf,,,,,,,,,,120,,,True
Tue May 28 10:28:33 2019,/home/samplingfm/Benchmarks/ActivityService.sk_11_27.cnf,1837,27,5968,1804710898040832,4,21,10,10,340.70,0.340238,0.184957,0.155281,False
Tue May 28 10:28:35 2019,/home/samplingfm/Benchmarks/IterationService.sk_12_27.cnf,1896,27,6732,159544772187389952,6,40,10,10,546.20,2.08493,1.70699,0.377942,False
,/home/samplingfm/Benchmarks/partition.sk_22_155.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/tutorial3.sk_4_31.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/compress.sk_17_291.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/diagStencilClean.sk_41_36.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/Pollard.sk_1_10.cnf,,,,,,,,,,120,,,True
Tue May 28 10:38:35 2019,/home/samplingfm/Benchmarks/7.sk_4_50.cnf,6683,50,24816,2199023255552,1,5,10,1,0.00,0.06684,0.062169,0.004671,False
Tue May 28 10:38:35 2019,/home/samplingfm/Benchmarks/63.sk_3_64.cnf,7242,64,24379,19421773393035264,2,7,10,3,1.67,0.17345,0.109957,0.063493,False
Tue May 28 10:38:36 2019,/home/samplingfm/Benchmarks/polynomial.sk_7_25.cnf,313,25,1027,64,0,6,10,1,0.00,0.018541,0.017766,0.000775,False
Tue May 28 10:38:36 2019,/home/samplingfm/Benchmarks/35.sk_3_52.cnf,4915,52,10547,4398046511104,1,5,10,1,0.00,0.041605,0.038558,0.003047,False
,/home/samplingfm/Benchmarks/ProcessBean.sk_8_64.cnf,,,,,,,,,,120,,,True
Tue May 28 10:40:36 2019,/home/samplingfm/Benchmarks/79.sk_4_40.cnf,5707,40,21005,0,0,0,10,0,-nan,0.041134,1.79769e+308,1.79769e+308,False
Tue May 28 10:40:36 2019,/home/samplingfm/Benchmarks/80.sk_2_48.cnf,4969,48,17060,1099511627776,1,5,10,1,0.00,0.046809,0.04357,0.003239,False
Tue May 28 10:40:36 2019,/home/samplingfm/Benchmarks/77.sk_3_44.cnf,14535,44,27573,18253611008,1,5,10,1,0.00,0.107731,0.103229,0.004502,False
Tue May 28 10:40:36 2019,/home/samplingfm/Benchmarks/tutorial2.sk_3_4.cnf,16726,4,77653,4,0,1,10,1,0.00,0.188946,0.171296,0.01765,False
Tue May 28 10:40:36 2019,/home/samplingfm/Benchmarks/registerlesSwap.sk_3_10.cnf,372,10,1493,11776,2,13,10,10,67.90,0.059859,0.032375,0.027484,False
,/home/samplingfm/Benchmarks/enqueueSeqSK.sk_10_42.cnf,,,,,,,,,,120,,,True
Tue May 28 10:42:36 2019,/home/samplingfm/Benchmarks/29.sk_3_45.cnf,8866,45,31557,347892350976,4,12,10,6,48.83,0.314369,0.113491,0.200878,False
Tue May 28 10:42:37 2019,/home/samplingfm/Benchmarks/56.sk_6_38.cnf,4842,38,17828,3690987520,1,9,10,3,25.33,0.106966,0.058198,0.048768,False
,/home/samplingfm/Benchmarks/parity.sk_11_11.cnf,,,,,,,,,,120,,,True
Tue May 28 10:44:39 2019,/home/samplingfm/Benchmarks/LoginService.sk_20_34.cnf,8200,34,26697,126476067702571008000,5,32,10,10,1011.60,2.66416,2.14642,0.517746,False
Tue May 28 10:44:39 2019,/home/samplingfm/Benchmarks/55.sk_3_46.cnf,3128,46,12145,274877906944,1,7,10,1,0.00,0.03769,0.034805,0.002885,False
Tue May 28 10:44:40 2019,/home/samplingfm/Benchmarks/19.sk_3_48.cnf,6993,48,23867,2959802892288,4,10,10,5,57.60,0.265642,0.063104,0.202538,False
Tue May 28 10:44:40 2019,/home/samplingfm/Benchmarks/17.sk_3_45.cnf,10090,45,27056,274877906944,1,5,10,1,0.00,0.073567,0.067994,0.005573,False
Tue May 28 10:44:41 2019,/home/samplingfm/Benchmarks/IssueServiceImpl.sk_8_30.cnf,1393,30,4319,483915270910377984,4,32,10,10,490.90,1.16342,1.02489,0.138538,False
Tue May 28 10:44:42 2019,/home/samplingfm/Benchmarks/20.sk_1_51.cnf,15475,51,60994,37108517437440,5,15,10,3,52.00,1.15371,0.683564,0.47015,False
Tue May 28 10:44:42 2019,/home/samplingfm/Benchmarks/UserServiceImpl.sk_8_32.cnf,1509,32,5009,26318028519946321920,10,21,10,10,264.40,0.253509,0.164863,0.088646,False
Tue May 28 10:44:46 2019,/home/samplingfm/Benchmarks/SetTest.sk_9_21.cnf,33744,21,148948,36,1,3,10,1,0.00,3.41205,3.3802,0.031858,False
,/home/samplingfm/Benchmarks/jburnim_morton.sk_13_530.cnf,,,,,,,,,,120,,,True
Tue May 28 10:46:46 2019,/home/samplingfm/Benchmarks/84.sk_4_77.cnf,15678,77,70956,36893488147419103232,1,7,10,2,2.50,0.415283,0.224852,0.190431,False
Tue May 28 10:46:47 2019,/home/samplingfm/Benchmarks/doublyLinkedList.sk_8_37.cnf,6890,37,26918,2038431744,4,22,10,10,328.00,0.930832,0.580589,0.350243,False
Tue May 28 10:46:47 2019,/home/samplingfm/Benchmarks/70.sk_3_40.cnf,4670,40,15864,8589934592,1,5,10,1,0.00,0.047391,0.044258,0.003133,False
Tue May 28 10:46:48 2019,/home/samplingfm/Benchmarks/tutorial1.sk_1_1.cnf,67,1,66,2,0,0,10,1,0.00,0.010184,0.009699,0.000485,False
Tue May 28 10:46:48 2019,/home/samplingfm/Benchmarks/107.sk_3_90.cnf,8948,90,40147,18889465931478580854784,1,5,10,1,0.00,0.114172,0.106792,0.00738,False
,/home/samplingfm/Benchmarks/LoginService2.sk_23_36.cnf,,,,,,,,,,120,,,True
Tue May 28 10:48:48 2019,/home/samplingfm/Benchmarks/10.sk_1_46.cnf,1494,46,2215,1081274793984,2,11,10,4,34.25,0.053953,0.01896,0.034993,False
,/home/samplingfm/Benchmarks/listReverse.sk_11_43.cnf,,,,,,,,,,120,,,True
Tue May 28 10:50:48 2019,/home/samplingfm/Benchmarks/51.sk_4_38.cnf,3708,38,14594,2617245696,1,9,10,3,25.33,0.075887,0.04169,0.034197,False
,/home/samplingfm/Benchmarks/isolateRightmost.sk_7_481.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/logcount.sk_16_86.cnf,,,,,,,,,,120,,,True
Tue May 28 10:54:48 2019,/home/samplingfm/Benchmarks/53.sk_4_32.cnf,2586,32,10747,67108864,1,5,10,1,0.00,0.034518,0.031686,0.002832,False
Tue May 28 10:54:51 2019,/home/samplingfm/Benchmarks/reverse.sk_11_258.cnf,75641,258,380869,158456325028528675187087900672,0,0,10,1,0.00,2.75178,2.67234,0.079439,False
Tue May 28 10:54:51 2019,/home/samplingfm/Benchmarks/GuidanceService2.sk_2_27.cnf,715,27,2181,3251598930961498112,6,12,10,8,116.62,0.065771,0.032944,0.032827,False
Tue May 28 10:54:51 2019,/home/samplingfm/Benchmarks/110.sk_3_88.cnf,18570,88,63471,18889465931478580854784,1,7,10,2,1.00,0.288301,0.137467,0.150834,False
Tue May 28 10:55:14 2019,/home/samplingfm/Benchmarks/54.sk_12_97.cnf,21726,97,73504,6833899789107057016176640,4,27,10,9,934.22,22.8387,20.9166,1.92219,False
,/home/samplingfm/Benchmarks/sort.sk_8_52.cnf,,,,,,,,,,120,,,True
Tue May 28 10:57:14 2019,/home/samplingfm/Benchmarks/ActivityService2.sk_10_27.cnf,1952,27,6868,8244000746110976,8,26,10,8,426.88,0.40905,0.297097,0.111953,False
Tue May 28 10:57:15 2019,/home/samplingfm/Benchmarks/57.sk_4_64.cnf,6917,64,23549,9007199254740992,1,7,10,2,2.00,0.098074,0.057411,0.040663,False
Tue May 28 10:57:15 2019,/home/samplingfm/Benchmarks/36.sk_3_77.cnf,8047,77,28733,0,0,0,10,0,-nan,0.048902,1.79769e+308,1.79769e+308,False
,/home/samplingfm/Benchmarks/ProjectService3.sk_12_55.cnf,,,,,,,,,,120,,,True
Tue May 28 10:59:20 2019,/home/samplingfm/Benchmarks/NotificationServiceImpl2.sk_10_36.cnf,3540,36,13425,139767338668606357504,7,40,10,10,622.00,4.77538,4.50508,0.270302,False
Tue May 28 10:59:20 2019,/home/samplingfm/Benchmarks/81.sk_5_51.cnf,10775,51,38006,18141941858304,4,13,10,3,307.33,0.638006,0.430017,0.207989,False
Tue May 28 10:59:21 2019,/home/samplingfm/Benchmarks/GuidanceService.sk_4_27.cnf,988,27,3089,315947792977625088,11,28,10,10,283.50,0.300499,0.184076,0.116423,False
,/home/samplingfm/Benchmarks/diagStencil.sk_35_36.cnf,,,,,,,,,,120,,,True
Tue May 28 11:01:21 2019,/home/samplingfm/Benchmarks/109.sk_4_36.cnf,3565,36,14012,889192448,2,8,10,3,26.33,0.077916,0.044582,0.033334,False
Tue May 28 11:01:24 2019,/home/samplingfm/Benchmarks/30.sk_5_76.cnf,29621,76,112301,129546043281312317440,4,11,10,9,142.22,2.88953,0.350475,2.53906,False
Tue May 28 11:01:25 2019,/home/samplingfm/Benchmarks/71.sk_3_65.cnf,5670,65,14618,533271095898275840,4,17,10,9,128.78,0.604057,0.321466,0.282591,False
Tue May 28 11:02:00 2019,/home/samplingfm/Benchmarks/lss.sk_6_7.cnf,82362,7,259553,23864,1,24,10,10,625.10,35.8944,10.9573,24.9371,False
,/home/samplingfm/Benchmarks/log2.sk_72_391.cnf,,,,,,,,,,120,,,True
,/home/samplingfm/Benchmarks/signedAvg.sk_8_1020.cnf,,,,,,,,,,120,,,True
Tue May 28 11:06:01 2019,/home/samplingfm/Benchmarks/PhaseService.sk_14_27.cnf,1686,27,5655,3705491624558592,6,29,10,10,480.40,0.332371,0.219919,0.112452,False
Tue May 28 11:06:02 2019,/home/samplingfm/Benchmarks/ConcreteActivityService.sk_13_28.cnf,2481,28,9011,1124281700604444672,5,25,10,10,548.60,0.544296,0.353891,0.190405,False
Tue May 28 11:06:02 2019,/home/samplingfm/Benchmarks/32.sk_4_38.cnf,3834,38,13594,2147483648,1,5,10,1,0.00,0.042391,0.03928,0.003111,False
Tue May 28 11:06:02 2019,/home/samplingfm/Benchmarks/tableBasedAddition.sk_240_1024.cnf,1026,1024,961,36893488147419103232,0,0,10,1,0.00,0.013996,0.012827,0.001169,False
Tue May 28 11:06:02 2019,/home/samplingfm/Benchmarks/27.sk_3_32.cnf,1509,32,2707,67108864,1,5,10,1,0.00,0.018207,0.016658,0.001549,False
