start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout
Tue May 28 14:13:12 2019,/home/samplingfm/Benchmarks/V7/s713_7_4.cnf,527,54,1193,10417295536947200,8,22,10,10,202.20,0.278636,0.250519,0.028117,False
Tue May 28 14:13:12 2019,/home/samplingfm/Benchmarks/V7/s382_7_4.cnf,281,24,711,3699712,3,11,10,10,67.40,0.048634,0.033426,0.015208,False
Tue May 28 14:13:12 2019,/home/samplingfm/Benchmarks/V7/s298_7_4.cnf,223,17,586,65536,3,12,10,7,43.86,0.033461,0.023143,0.010318,False
Tue May 28 14:13:12 2019,/home/samplingfm/Benchmarks/V7/s349_7_4.cnf,216,24,545,8388608,2,15,10,9,81.33,0.040889,0.024556,0.016333,False
,/home/samplingfm/Benchmarks/V7/s1423a_7_4.cnf,,,,,,,,,,5,,,True
Tue May 28 14:13:20 2019,/home/samplingfm/Benchmarks/V7/s35932_7_4.cnf,17849,1763,44425,129963788961922925155527272223525248889759152822969598982478268206133349462694020378264180090220579654839599874514419612180976386106376210220493562042913301888845304620868264421256592545404502952102638854528736634485892059852443757377956753998390984615301580132853155973707156964107367668616014712194416056056482606725913079978679270679940813296657164467735060648899374183734198732590185050003596812827829203933098159373681170060471662299062694163616092617576358807330801595092227509791074524423197905810031515196793951480239357952,6,12,10,10,5576.30,3.23451,1.73163,1.50288,False
,/home/samplingfm/Benchmarks/V7/s5378a_7_4.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/V7/s13207a_7_4.cnf,,,,,,,,,,5,,,True
Tue May 28 14:13:31 2019,/home/samplingfm/Benchmarks/V7/s420_7_4.cnf,312,34,770,8589934592,5,14,10,10,74.60,0.046092,0.028847,0.017245,False
Tue May 28 14:13:31 2019,/home/samplingfm/Benchmarks/V7/s838_7_4.cnf,616,66,1490,36893488147419103232,4,15,10,9,213.44,0.065621,0.030385,0.035236,False
,/home/samplingfm/Benchmarks/V7/s38417_7_4.cnf,,,,,,,,,,5,,,True
,/home/samplingfm/Benchmarks/V7/s9234a_7_4.cnf,,,,,,,,,,5,,,True
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s832a_7_4.cnf,624,23,1733,819200,3,9,10,10,30.90,0.042318,0.025579,0.016739,False
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s420_new1_7_4.cnf,312,34,770,8589934592,5,14,10,9,95.11,0.036296,0.016832,0.019464,False
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s27_new_7_4.cnf,17,7,35,48,2,2,10,1,0.00,0.007496,0.007098,0.000398,False
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s820a_7_4.cnf,616,23,1703,591872,3,10,10,10,35.60,0.044159,0.022747,0.021412,False
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s444_7_4.cnf,308,24,788,12818432,5,12,10,8,104.62,0.038901,0.019737,0.019164,False
Tue May 28 14:13:41 2019,/home/samplingfm/Benchmarks/V7/s1488_7_4.cnf,872,14,2499,8864,3,15,10,9,18.11,0.07636,0.059157,0.017203,False
,/home/samplingfm/Benchmarks/V7/s15850a_7_4.cnf,,,,,,,,,,5,,,True
Tue May 28 14:13:46 2019,/home/samplingfm/Benchmarks/V7/s1238a_7_4.cnf,704,32,1926,1613234176,6,23,10,10,73.80,0.345201,0.320843,0.024358,False
Tue May 28 14:13:46 2019,/home/samplingfm/Benchmarks/V7/s27_7_4.cnf,24,7,63,70,2,4,10,2,1.00,0.009965,0.007408,0.002557,False
Tue May 28 14:13:46 2019,/home/samplingfm/Benchmarks/V7/s420_new_7_4.cnf,312,34,770,8589934592,4,16,10,9,143.11,0.061698,0.029651,0.032047,False
Tue May 28 14:13:47 2019,/home/samplingfm/Benchmarks/V7/s510_7_4.cnf,316,25,844,15073280,3,9,10,9,18.22,0.027868,0.015543,0.012325,False
,/home/samplingfm/Benchmarks/V7/s38584_7_4.cnf,,,,,,,,,,5,,,True
Tue May 28 14:13:52 2019,/home/samplingfm/Benchmarks/V7/s526_7_4.cnf,383,24,1019,6291456,5,20,10,10,104.90,0.215343,0.190201,0.025142,False
Tue May 28 14:13:52 2019,/home/samplingfm/Benchmarks/V7/s641_7_4.cnf,507,54,1115,7502738514509824,9,26,10,10,203.40,0.327818,0.302049,0.025769,False
Tue May 28 14:13:52 2019,/home/samplingfm/Benchmarks/V7/s953a_7_4.cnf,533,45,1373,9517647527936,4,18,10,10,37.50,0.120401,0.098543,0.021858,False
Tue May 28 14:13:53 2019,/home/samplingfm/Benchmarks/V7/s1196a_7_4.cnf,708,32,1881,1609039872,6,22,10,10,91.20,0.349171,0.32271,0.026461,False
Tue May 28 14:13:53 2019,/home/samplingfm/Benchmarks/V7/s344_7_4.cnf,215,24,540,8388608,2,16,10,10,75.30,0.053636,0.02906,0.024576,False
Tue May 28 14:13:53 2019,/home/samplingfm/Benchmarks/V7/s526a_7_4.cnf,384,24,1020,7340032,5,21,10,10,116.20,0.153481,0.128123,0.025358,False
