formula_file,execution_time_in,timeout,start_time,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case30.cnf,0.032041072845458984,False,Fri Jun  5 07:22:19 2020,68,15,195,512,2,9,10,8,10.88,0.01439,0.006236,0.008154
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case109.cnf,0.06886720657348633,False,Fri Jun  5 07:22:19 2020,241,31,915,1048576,3,20,10,10,62.90,0.053237,0.035985,0.017252
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring50.cnf,2.030460834503174,False,Fri Jun  5 07:22:21 2020,500,42,1965,16777216,4,35,10,10,121.40,2.01039,1.97001,0.040377
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_even1.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case7.cnf,0.08664155006408691,False,Fri Jun  5 07:25:21 2020,116,20,365,131072,2,15,10,7,73.29,0.056213,0.025587,0.030626
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case19.cnf,65.86819219589233,False,Fri Jun  5 07:26:27 2020,397,69,1126,73786976294838206464,4,48,10,9,283.44,65.8228,64.5747,1.24815
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring20.cnf,0.2802762985229492,False,Fri Jun  5 07:26:27 2020,696,61,2198,8388608,2,23,10,8,268.50,0.253989,0.19167,0.062319
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case211.cnf,1.2160937786102295,False,Fri Jun  5 07:26:29 2020,869,83,2925,1208925819614629174706176,3,75,10,8,534.12,1.19355,0.320085,0.873466
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_3_4_b14_even.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case142.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_ptb_2_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring8.cnf,14.261080980300903,False,Fri Jun  5 07:35:43 2020,1101,72,3642,274408144896,3,38,10,10,275.10,14.2238,14.1193,0.104582
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case101.cnf,0.050080299377441406,False,Fri Jun  5 07:35:44 2020,72,24,178,2097152,2,19,10,7,38.57,0.026526,0.014094,0.012432
/home/samplingfm/Benchmarks/Blasted_Real/blasted_TR_b12_2_linear.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case41.cnf,0.5399360656738281,False,Fri Jun  5 07:38:44 2020,245,65,650,36028797018963968,6,25,10,10,124.70,0.511678,0.477685,0.033993
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case124.cnf,0.07118868827819824,False,Fri Jun  5 07:38:44 2020,133,31,385,268435456,4,24,10,9,78.11,0.050855,0.022442,0.028413
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring42.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_ptb_2.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_ptb_1.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case119.cnf,1.0923023223876953,False,Fri Jun  5 07:47:46 2020,267,59,786,35184372088832,6,30,10,7,145.14,1.05653,0.13015,0.926377
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring29.cnf,1.3192682266235352,False,Fri Jun  5 07:47:47 2020,1141,61,4249,79888860,3,35,10,10,224.50,1.29243,1.22455,0.067878
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case11.cnf,0.046294450759887695,False,Fri Jun  5 07:47:47 2020,105,17,369,16384,3,12,10,8,12.25,0.024573,0.016325,0.008248
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case35.cnf,0.5013895034790039,False,Fri Jun  5 07:47:48 2020,400,46,1414,8796093022208,5,34,10,10,269.30,0.480688,0.389572,0.091116
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case120.cnf,1.207913875579834,False,Fri Jun  5 07:47:49 2020,284,61,850,70368744177664,6,30,10,10,136.00,1.18566,0.621586,0.564077
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_0_b14_1.cnf,38.99581718444824,False,Fri Jun  5 07:48:28 2020,812,97,2998,604462909807314587353088,11,47,10,9,266.89,38.9415,21.9082,17.0332
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case55.cnf,0.06978344917297363,False,Fri Jun  5 07:48:28 2020,149,26,441,1048576,2,10,10,7,49.57,0.045919,0.021787,0.024132
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case137.cnf,0.03862500190734863,False,Fri Jun  5 07:48:28 2020,60,21,146,262144,1,18,10,3,24.67,0.022453,0.010714,0.011739
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case141.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case_2_b12_1.cnf,1.5650861263275146,False,Fri Jun  5 07:51:30 2020,427,37,1382,1073741824,3,33,10,10,149.30,1.53463,1.41222,0.122407
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case104.cnf,180.0,True,,,,,,,,,,,,,
/home/samplingfm/Benchmarks/Blasted_Real/blasted_case59.cnf,0.05679607391357422,False,Fri Jun  5 07:54:30 2020,93,19,284,35328,3,9,10,10,22.10,0.026953,0.016293,0.01066
/home/samplingfm/Benchmarks/Blasted_Real/blasted_squaring30.cnf,1.4399337768554688,False,Fri Jun  5 07:54:32 2020,1031,61,3694,79888860,4,37,10,9,265.22,1.41885,1.31738,0.101471
