start_time,formula_file,num_vars,independent_support_size,num_clauses,tot_num_models,max_component_split_depth,max_branch_var_depth,num_samples,num_second_pass_groups,avg_second_pass_var,execution_time,pass1_time,pass2_time,timeout,execution_time_in
Fri Jun  5 05:38:47 2020,/home/samplingfm/Benchmarks/ActivityService2.sk_10_27.cnf,1952,27,6868,8244000746110976,8,26,10,9,419.78,0.446451,0.328805,0.117646,False,0.46918773651123047
Fri Jun  5 05:38:50 2020,/home/samplingfm/Benchmarks/30.sk_5_76.cnf,29621,76,112301,129546043281312317440,4,11,10,6,137.00,3.08243,0.433325,2.6491,False,3.1386654376983643
Fri Jun  5 05:38:50 2020,/home/samplingfm/Benchmarks/tutorial1.sk_1_1.cnf,67,1,66,2,0,0,10,1,0.00,0.010535,0.009664,0.000871,False,0.03269219398498535
,/home/samplingfm/Benchmarks/signedAvg.sk_8_1020.cnf,,,,,,,,,,,,,True,180.0
,/home/samplingfm/Benchmarks/compress.sk_17_291.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 05:44:51 2020,/home/samplingfm/Benchmarks/51.sk_4_38.cnf,3708,38,14594,2617245696,1,9,10,3,25.33,0.084291,0.0466,0.037691,False,0.1171267032623291
Fri Jun  5 05:44:55 2020,/home/samplingfm/Benchmarks/reverse.sk_11_258.cnf,75641,258,380869,158456325028528675187087900672,0,0,10,1,0.00,3.92394,3.80144,0.122501,False,4.0400660037994385
Fri Jun  5 05:44:56 2020,/home/samplingfm/Benchmarks/ConcreteActivityService.sk_13_28.cnf,2481,28,9011,1124281700604444672,5,25,10,9,498.67,0.72725,0.562559,0.164691,False,0.7484092712402344
Fri Jun  5 05:44:57 2020,/home/samplingfm/Benchmarks/IterationService.sk_12_27.cnf,1896,27,6732,159544772187389952,6,40,10,7,565.57,1.1569,0.989068,0.167831,False,1.1736202239990234
,/home/samplingfm/Benchmarks/xpose.sk_6_134.cnf,,,,,,,,,,,,,True,180.0
,/home/samplingfm/Benchmarks/diagStencilClean.sk_41_36.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 05:50:57 2020,/home/samplingfm/Benchmarks/GuidanceService2.sk_2_27.cnf,715,27,2181,3251598930961498112,6,12,10,9,109.33,0.062583,0.035723,0.02686,False,0.09273719787597656
Fri Jun  5 05:51:01 2020,/home/samplingfm/Benchmarks/SetTest.sk_9_21.cnf,33744,21,148948,36,1,3,10,1,0.00,3.40352,3.37215,0.031372,False,3.461352825164795
Fri Jun  5 05:51:02 2020,/home/samplingfm/Benchmarks/81.sk_5_51.cnf,10775,51,38006,18141941858304,4,13,10,3,307.33,1.03562,0.757389,0.278234,False,1.0711705684661865
Fri Jun  5 05:51:02 2020,/home/samplingfm/Benchmarks/63.sk_3_64.cnf,7242,64,24379,19421773393035264,2,7,10,3,5.67,0.256861,0.129655,0.127206,False,0.2931079864501953
Fri Jun  5 05:51:03 2020,/home/samplingfm/Benchmarks/107.sk_3_90.cnf,8948,90,40147,18889465931478580854784,1,5,10,1,0.00,0.260147,0.249819,0.010328,False,0.29776930809020996
Fri Jun  5 05:51:03 2020,/home/samplingfm/Benchmarks/17.sk_3_45.cnf,10090,45,27056,274877906944,1,5,10,1,0.00,0.126305,0.117162,0.009143,False,0.16144490242004395
Fri Jun  5 05:51:03 2020,/home/samplingfm/Benchmarks/56.sk_6_38.cnf,4842,38,17828,3690987520,1,9,10,2,38.00,0.201821,0.098526,0.103295,False,0.23024439811706543
Fri Jun  5 05:51:03 2020,/home/samplingfm/Benchmarks/10.sk_1_46.cnf,1494,46,2215,1081274793984,2,11,10,4,27.50,0.09061,0.050141,0.040469,False,0.11596131324768066
Fri Jun  5 05:51:04 2020,/home/samplingfm/Benchmarks/GuidanceService.sk_4_27.cnf,988,27,3089,315947792977625088,11,28,10,9,341.44,0.410324,0.269722,0.140602,False,0.43399930000305176
Fri Jun  5 05:51:04 2020,/home/samplingfm/Benchmarks/7.sk_4_50.cnf,6683,50,24816,2199023255552,1,5,10,1,0.00,0.100226,0.093055,0.007171,False,0.13563036918640137
Fri Jun  5 05:51:05 2020,/home/samplingfm/Benchmarks/doublyLinkedList.sk_8_37.cnf,6890,37,26918,2038431744,4,22,10,10,387.90,1.3603,0.956542,0.403761,False,1.3913631439208984
Fri Jun  5 05:51:06 2020,/home/samplingfm/Benchmarks/84.sk_4_77.cnf,15678,77,70956,36893488147419103232,1,7,10,2,2.50,0.749394,0.27808,0.471314,False,0.7970833778381348
Fri Jun  5 05:51:06 2020,/home/samplingfm/Benchmarks/70.sk_3_40.cnf,4670,40,15864,8589934592,1,5,10,1,0.00,0.068762,0.064174,0.004588,False,0.09860587120056152
Fri Jun  5 05:51:07 2020,/home/samplingfm/Benchmarks/tutorial2.sk_3_4.cnf,16726,4,77653,4,0,1,10,1,0.00,0.312889,0.28519,0.027699,False,0.36077404022216797
Fri Jun  5 05:51:07 2020,/home/samplingfm/Benchmarks/ActivityService.sk_11_27.cnf,1837,27,5968,1804710898040832,4,21,10,10,351.50,0.323069,0.175919,0.14715,False,0.3492255210876465
,/home/samplingfm/Benchmarks/enqueueSeqSK.sk_10_42.cnf,,,,,,,,,,,,,True,180.0
Fri Jun  5 05:54:07 2020,/home/samplingfm/Benchmarks/53.sk_4_32.cnf,2586,32,10747,67108864,1,5,10,1,0.00,0.05067,0.047093,0.003577,False,0.0843508243560791
Fri Jun  5 05:54:08 2020,/home/samplingfm/Benchmarks/UserServiceImpl.sk_8_32.cnf,1509,32,5009,26318028519946321920,10,21,10,9,385.56,0.449804,0.240713,0.209091,False,0.47318029403686523
Fri Jun  5 05:55:03 2020,/home/samplingfm/Benchmarks/lss.sk_6_7.cnf,82362,7,259553,23864,1,24,10,10,621.50,55.2866,11.599,43.6876,False,55.393489837646484
Fri Jun  5 05:55:04 2020,/home/samplingfm/Benchmarks/PhaseService.sk_14_27.cnf,1686,27,5655,3705491624558592,6,29,10,9,479.33,0.277429,0.199721,0.077708,False,0.30193018913269043
Fri Jun  5 05:57:31 2020,/home/samplingfm/Benchmarks/Pollard.sk_1_10.cnf,7815,10,41258,423880182400,3,90,10,10,799.60,147.679,143.672,4.00734,False,147.72261929512024
